time,pump,command
2023-11-10-17-39-01,1,0
2023-11-10-17-37-32,2,1
2023-11-10-17-39-01,2,0
2023-11-10-17-41-01,1,0
2023-11-10-17-41-01,2,0
2023-11-10-17-41-31,1,1
2023-11-10-17-41-31,2,1
2023-11-10-17-44-10,1,0
2023-11-10-17-45-01,1,1
2023-11-10-17-44-10,2,0
2023-11-10-17-45-01,2,1
2023-11-10-17-45-01,1,0
2023-11-11-14-01-00,1,1
2023-11-11-18-32-00,1,0
2023-11-10-17-45-01,2,0
2023-11-12-20-50-01,1,1
2023-11-12-20-53-31,1,0
2023-11-12-20-54-30,1,1
2023-11-12-20-58-00,1,0
2023-11-12-20-58-31,1,1
2023-11-12-21-02-01,1,0
2023-11-12-21-02-30,1,1
2023-11-12-21-06-00,1,0
2023-11-12-21-06-31,1,1
2023-11-12-21-10-00,1,0
2023-11-12-21-10-30,1,1
2023-11-12-20-50-01,2,1
2023-11-12-21-14-00,1,0
2023-11-12-21-14-31,2,0
2023-11-12-21-14-31,1,1
2023-11-12-21-15-01,2,1
2023-11-12-21-18-01,1,0
2023-11-12-21-18-31,2,0
2023-11-12-21-20-32,1,0
2023-11-12-21-20-32,2,0
2023-11-13-06-00-01,1,1
2023-11-13-06-00-01,2,1
2023-11-13-10-12-31,1,0
2023-11-13-10-18-03,1,1
2023-11-13-10-22-03,1,1
2023-11-13-10-12-31,2,0
2023-11-13-10-23-33,1,1
2023-11-13-10-37-01,2,1
2023-11-13-11-43-33,1,1
2023-11-13-13-17-34,1,1
2023-11-13-11-54-00,2,0
2023-11-08-22-12-01,3,0
2023-10-25-11-24-00,4,0
2023-11-13-13-20-34,2,1
2023-11-13-13-21-30,2,1
2023-11-13-13-20-34,3,1
2023-11-13-13-20-34,4,1
2023-11-13-13-30-03,1,0
2023-11-13-13-31-32,1,0
2023-11-13-13-30-03,2,0
2023-11-13-13-34-32,2,0
2023-11-13-13-30-03,3,0
2023-11-13-13-34-32,3,0
2023-11-13-13-30-03,4,0
2023-11-13-13-34-32,4,0
2023-11-13-13-32-30,1,1
2023-11-13-13-35-30,2,1
2023-11-13-13-38-03,1,1
2023-11-13-13-38-31,2,1
2023-11-13-13-41-03,2,0
2023-11-13-13-40-33,2,0
2023-11-13-13-35-30,3,1
2023-11-13-13-41-03,3,0
2023-11-13-13-40-03,3,0
2023-11-13-13-35-30,4,1
2023-11-13-13-41-03,4,0
2023-11-13-13-40-33,4,0
2023-11-13-13-40-33,1,1
2023-11-13-13-43-33,2,0
2023-11-13-13-43-33,3,0
2023-11-13-13-43-33,4,0
2023-11-13-13-46-33,2,0
2023-11-13-16-00-01,2,1
2023-11-13-13-43-33,1,1
2023-11-13-23-03-01,1,0
2023-11-13-18-29-31,2,0
2023-11-13-13-46-33,3,0
2023-11-13-13-46-33,4,0
2023-11-14-07-00-01,1,1
2023-11-14-07-00-01,2,1
2023-11-14-07-03-01,3,0
2023-11-14-07-03-01,4,0
2023-11-14-07-07-00,1,1
2023-11-14-07-07-00,2,1
2023-11-14-07-10-00,3,0
2023-11-14-07-10-00,4,0
2023-11-14-07-12-01,1,1
2023-11-14-07-12-01,2,1
2023-11-14-07-15-01,3,0
2023-11-14-07-15-01,4,0
2023-11-14-08-22-01,1,1
2023-11-14-08-22-01,2,1
2023-11-14-09-01-04,1,1
2023-11-14-09-01-31,2,1
2023-11-14-09-02-31,2,1
2023-11-14-08-25-01,3,0
2023-11-14-08-25-01,4,0
2023-11-14-09-04-04,3,0
2023-11-14-09-04-04,4,0
2023-11-14-09-02-31,1,1
2023-11-14-09-04-04,2,0
2023-11-14-09-05-31,3,0
2023-11-14-09-05-31,4,0
2023-11-14-09-09-03,2,0
2023-11-14-09-48-31,2,1
2023-11-14-09-06-03,1,1
2023-11-14-09-09-03,3,0
2023-11-14-14-15-01,1,0
2023-11-14-11-38-30,2,0
2023-11-14-14-51-03,3,1
2023-11-14-09-09-03,4,0
2023-11-14-14-53-30,1,0
2023-11-14-14-53-30,2,0
2023-11-14-14-53-30,4,0
2023-11-14-14-54-03,1,0
2023-11-14-14-54-03,2,0
2023-11-14-14-54-03,4,0
2023-11-14-14-53-30,3,0
2023-11-14-14-57-01,3,0
2023-11-14-14-59-33,3,1
2023-11-14-15-00-00,3,1
2023-11-14-15-01-31,3,1
2023-11-14-14-57-01,1,0
2023-11-14-15-02-33,1,0
2023-11-14-14-57-01,2,0
2023-11-14-15-02-33,2,0
2023-11-14-14-57-01,4,0
2023-11-14-15-02-33,4,0
2023-11-14-15-03-00,1,0
2023-11-14-15-03-00,2,0
2023-11-14-15-03-00,4,0
2023-11-14-15-04-31,1,0
2023-11-14-15-04-31,2,0
2023-11-14-15-04-31,4,0
2023-11-14-15-02-01,3,1
2023-11-14-15-05-01,4,0
2023-11-14-15-05-01,1,0
2023-11-14-15-05-01,2,0
2023-11-14-15-43-04,4,1
2023-11-14-15-53-31,4,0
2023-11-14-15-56-00,4,1
2023-11-14-15-46-04,1,0
2023-11-14-15-43-04,3,1
2023-11-14-17-00-01,1,1
2023-11-14-18-33-31,1,0
2023-11-14-15-46-04,2,0
2023-11-14-17-56-00,3,0
2023-11-14-15-59-31,4,0
2023-11-14-20-05-04,1,0
2023-11-14-20-05-04,2,0
2023-11-14-20-05-04,3,0
2023-11-14-20-05-05,4,0
2023-11-14-20-15-34,1,0
2023-11-14-20-15-34,2,0
2023-11-14-20-15-34,3,0
2023-11-14-20-15-34,4,0
2023-11-14-20-45-34,1,0
2023-11-14-20-58-34,1,0
2023-11-14-20-45-34,2,0
2023-11-14-20-58-34,2,0
2023-11-14-20-45-34,3,0
2023-11-14-20-58-35,3,0
2023-11-14-20-45-35,4,0
2023-11-14-20-58-35,4,0
2023-11-14-20-59-00,1,0
2023-11-14-20-59-00,2,0
2023-11-14-20-59-00,3,0
2023-11-14-20-59-00,4,0
2023-11-14-21-15-01,2,0
2023-11-14-21-15-01,3,0
2023-11-14-21-15-01,4,0
2023-11-14-21-12-01,1,1
2023-11-14-21-16-00,3,0
2023-11-14-22-18-31,3,1
2023-11-14-21-16-00,2,0
2023-11-14-21-16-00,1,0
2023-11-15-08-26-30,2,1
2023-11-15-00-03-00,3,0
2023-11-14-21-16-00,4,0
2023-11-15-08-33-01,3,0
2023-11-15-08-30-01,1,1
2023-11-15-08-30-01,2,1
2023-11-15-09-00-01,3,1
2023-11-15-10-19-31,1,1
2023-11-15-10-19-31,2,1
2023-11-15-10-19-31,3,1
2023-11-15-10-20-01,1,1
2023-11-15-10-20-01,2,1
2023-11-15-10-20-01,3,1
2023-11-15-08-33-01,4,0
2023-11-15-10-22-31,4,0
2023-11-15-10-23-01,4,0
