time,command
2023-11-14-08-46-31,4
2023-11-14-08-47-00,4
2023-11-14-08-47-30,4
2023-11-14-08-48-01,4
2023-11-14-08-48-31,4
2023-11-14-08-49-00,4
2023-11-14-08-49-30,4
2023-11-14-08-50-00,4
2023-11-14-08-50-30,4
2023-11-14-08-51-00,4
2023-11-14-08-51-30,4
2023-11-14-08-52-01,4
2023-11-14-08-52-30,4
2023-11-14-08-53-01,4
2023-11-14-08-53-30,4
2023-11-14-08-54-01,4
2023-11-14-08-54-31,4
2023-11-14-08-55-02,4
2023-11-14-08-55-30,4
2023-11-14-08-56-00,4
2023-11-14-08-56-30,4
2023-11-14-08-57-01,4
2023-11-14-08-57-30,4
2023-11-14-08-58-01,4
2023-11-14-08-58-30,4
2023-11-14-08-59-01,4
2023-11-14-08-59-30,4
2023-11-14-09-00-01,6
2023-11-14-09-01-04,3
2023-11-14-09-01-31,6
2023-11-14-09-02-00,6
2023-11-14-09-02-31,1
2023-11-14-09-03-01,1
2023-11-14-09-03-30,1
2023-11-14-09-04-01,1
2023-11-14-09-04-30,1
2023-11-14-09-06-03,1
2023-11-14-14-12-01,0
2023-11-14-14-51-03,1
2023-11-14-14-54-01,0
2023-11-14-14-59-33,1
2023-11-14-15-43-04,1
2023-11-14-18-30-31,0
2023-11-14-21-12-01,1
2023-11-14-21-13-01,0
2023-11-14-22-18-31,1
2023-11-15-00-00-00,0
2023-11-15-08-26-31,1
2023-11-15-11-04-01,1
2023-11-15-15-25-31,0
2023-11-15-15-26-01,1
2023-11-15-15-26-31,0
2023-11-15-16-05-01,1
2023-11-15-23-00-48,0
2023-11-16-07-00-01,1
2023-11-16-11-41-01,0
2023-11-16-12-14-31,1
2023-11-16-12-18-04,1
2023-11-16-12-41-31,0
2023-11-16-12-42-00,1
2023-11-16-12-43-31,0
2023-11-16-12-56-01,1
2023-11-16-13-44-31,0
2023-11-16-13-50-01,1
2023-11-16-13-51-31,0
2023-11-16-14-45-34,1
2023-11-16-14-46-34,0
2023-11-16-16-00-02,1
2023-11-16-18-45-36,1
2023-11-16-19-56-02,0
2023-11-16-20-00-02,1
2023-11-16-23-00-03,0
2023-11-17-08-00-02,1
2023-11-17-12-09-02,0
2023-11-17-13-40-02,1
2023-11-17-18-06-32,0
2023-11-17-19-47-03,1
2023-11-17-20-00-03,0
2023-11-18-09-22-32,1
2023-11-18-09-46-32,0
2023-11-18-11-15-02,1
2023-11-18-16-52-36,1
2023-11-18-17-00-40,1
2023-11-18-17-03-06,1
2023-11-18-18-05-36,1
