04/01/2024 22:31:25,ovi,05/01/2024,0,24,12
04/01/2024 23:32:23,PK iroda,05/01/2024,13,4,21
04/01/2024 23:33:13,vendégtér,05/01/2024,0,24,14
04/01/2024 23:33:32,vendégtér,04/01/2024,0,24,14
04/01/2024 23:34:04,vendégtér,06/01/2024,0,24,14
04/01/2024 23:34:27,vendégtér,07/01/2024,0,24,14
06/01/2024 23:07:20,ovi,06/01/2024,23,1,12
12/01/2024 11:06:17,ovi,12/01/2024,16,5,21
13/01/2024 10:46:27,ovi,13/01/2024,0,24,14
13/01/2024 10:46:44,PK iroda,13/01/2024,0,24,14
13/01/2024 10:48:07,PK iroda,13/01/2024,0,24,14
13/01/2024 12:11:06,Gólyairoda,13/01/2024,0,24,12
13/01/2024 12:30:50,Lahmacun,13/01/2024,0,24,12
14/01/2024 10:35:28,Gólyairoda,14/01/2024,0,24,12
14/01/2024 10:36:00,ovi,14/01/2024,0,24,14
14/01/2024 10:36:40,PK iroda,14/01/2024,0,24,14
14/01/2024 12:41:24,PK iroda,14/01/2024,0,24,14
14/01/2024 14:46:18,Lahmacun,14/01/2024,14,4,21
14/01/2024 15:10:10,ovi,14/01/2024,15,5,20
19/01/2024 14:18:44,ovi,19/01/2024,0,24,12
20/01/2024 02:29:35,ovi,20/01/2024,0,24,12
20/01/2024 02:30:02,PK iroda,20/01/2024,0,24,12
20/01/2024 08:51:33,vendégtér,20/01/2024,8,16,20
20/01/2024 08:51:56,kisterem,20/01/2024,8,16,21
20/01/2024 08:56:37,SZGK iroda,20/01/2024,0,24,14
20/01/2024 08:56:58,Mérce,20/01/2024,0,24,14
20/01/2024 09:27:23,Mérce,20/01/2024,0,24,12
20/01/2024 12:35:27,Gólyairoda,20/01/2024,0,24,12
20/01/2024 12:35:45,Lahmacun,20/01/2024,0,24,12
20/01/2024 12:37:33,Lahmacun,20/01/2024,0,24,12
21/01/2024 05:08:57,SZGK iroda,21/01/2024,0,24,14
21/01/2024 05:09:24,Mérce,21/01/2024,0,24,14
21/01/2024 05:09:54,ovi,21/01/2024,0,24,14
21/01/2024 05:10:15,PK iroda,21/01/2024,0,24,14
21/01/2024 11:41:13,Gólyairoda,21/01/2024,0,24,12
21/01/2024 11:41:40,Lahmacun,21/01/2024,0,24,12
22/01/2024 16:55:27,ovi,22/01/2024,16,3,21
26/01/2024 18:30:24,Mérce,26/01/2024,18,2,20
27/01/2024 12:54:27,ovi,27/01/2024,0,24,16
27/01/2024 19:44:25,ovi,28/01/2024,20,4,18
27/01/2024 19:44:43,ovi,29/01/2024,0,8,18
31/01/2024 08:34:53,Lahmacun,31/01/2024,20,4,20
31/01/2024 19:14:04,trafóház,31/01/2024,19,3,1
06/02/2024 10:48:06,kisterem,06/02/2024,10,2,17
06/02/2024 18:55:17,Gólyairoda,06/02/2024,18,2,18
06/02/2024 18:55:40,Mérce,06/02/2024,18,2,20
06/02/2024 18:56:06,PK iroda,06/02/2024,18,2,19
06/02/2024 20:02:26,kisterem,06/02/2024,20,1,21
16/02/2024 09:19:35,PK iroda,16/02/2024,9,11,21
16/02/2024 09:21:25,PK iroda,16/02/2024,9,11,21
16/02/2024 09:36:04,PK iroda,16/02/2024,9,11,21
27/02/2024 18:18:32,SZGK iroda,27/02/2024,18,2,18
27/02/2024 18:19:21,ovi,27/02/2024,18,2,18
27/02/2024 18:21:13,PK iroda,27/02/2024,18,2,18
27/02/2024 18:23:18,PK iroda,27/02/2024,18,2,18
01/03/2024 09:28:21,PK iroda,01/03/2024,9,5,21
06/03/2024 11:14:39,Mérce,06/03/2024,11,1,19
06/03/2024 17:46:13,ovi,06/03/2024,19,2,20
07/03/2024 16:53:03,vendégtér,07/03/2024,16,2,22
11/03/2024 17:21:52,SZGK iroda,11/03/2024,17,2,16
11/03/2024 17:37:55,Mérce,11/03/2024,17,2,20
