timestamp,temp,humidity,wind speed,coco
2024-08-05-15-00-00,23.7,57,22.2,3
2024-08-05-16-00-00,23.5,58,22.2,3
2024-08-05-17-00-00,22.7,60,22.2,3
2024-08-05-18-00-00,21.9,63,20.4,3
2024-08-05-19-00-00,20.7,67,18.5,3
2024-08-05-20-00-00,20.2,66,16.7,3
2024-08-05-21-00-00,19.2,69,16.7,3
2024-08-05-22-00-00,18.5,70,13.0,2
2024-08-05-23-00-00,18.1,69,11.1,2
2024-08-06-00-00-00,18.0,78,13.0,2
2024-08-06-01-00-00,17.7,76,13.0,1
2024-08-06-02-00-00,17.1,77,13.0,1
2024-08-06-03-00-00,16.6,77,13.0,1
2024-08-06-04-00-00,16.3,77,14.8,1
2024-08-06-05-00-00,16.3,78,13.0,2
2024-08-06-06-00-00,16.3,78,11.1,2
2024-08-06-07-00-00,17.9,71,11.1,2
2024-08-06-08-00-00,19.5,65,11.1,2
2024-08-06-09-00-00,20.4,61,11.1,2
2024-08-06-10-00-00,22.2,54,11.1,2
2024-08-06-11-00-00,23.6,49,11.1,2
2024-08-06-12-00-00,24.1,46,11.1,2
2024-08-06-13-00-00,25.0,43,9.3,2
2024-08-06-14-00-00,26.0,40,9.3,2
2024-08-06-15-00-00,26.5,38,7.4,2
2024-08-06-16-00-00,27.0,36,7.4,2
2024-08-06-17-00-00,27.2,36,7.4,2
2024-08-06-18-00-00,26.6,38,7.4,2
2024-08-06-19-00-00,25.8,40,7.4,2
2024-08-06-20-00-00,24.2,45,7.4,2
2024-08-06-21-00-00,22.7,50,7.4,2
2024-08-06-22-00-00,21.1,56,5.5,2
2024-08-06-23-00-00,19.7,63,5.5,2
2024-08-07-00-00-00,18.8,72,5.5,2
2024-08-07-01-00-00,17.9,74,7.4,1
2024-08-07-02-00-00,17.3,75,7.4,1
2024-08-07-03-00-00,16.4,78,7.4,1
2024-08-07-04-00-00,15.7,80,7.4,1
2024-08-07-05-00-00,15.6,80,7.4,2
2024-08-07-06-00-00,15.2,83,7.4,2
2024-08-07-07-00-00,17.0,75,7.4,2
2024-08-07-08-00-00,19.0,67,7.4,2
2024-08-07-09-00-00,20.3,63,7.4,2
2024-08-07-10-00-00,22.4,55,7.4,2
2024-08-07-11-00-00,24.2,49,7.4,2
2024-08-07-12-00-00,25.1,46,9.3,2
2024-08-07-13-00-00,26.2,43,9.3,2
2024-08-07-14-00-00,27.2,39,9.3,2
2024-08-07-15-00-00,28.0,38,9.3,2
2024-08-07-16-00-00,28.6,37,9.3,2
2024-08-07-17-00-00,28.6,37,9.3,2
2024-08-07-18-00-00,28.9,37,7.4,2
2024-08-07-19-00-00,27.9,40,9.3,2
2024-08-07-20-00-00,26.3,45,7.4,2
2024-08-07-21-00-00,24.8,50,7.4,2
2024-08-07-22-00-00,23.2,56,5.5,2
2024-08-07-23-00-00,21.7,62,5.5,2
2024-08-08-00-00-00,20.9,68,7.4,2
2024-08-08-01-00-00,20.3,68,7.4,2
2024-08-08-02-00-00,19.8,70,7.4,2
2024-08-08-03-00-00,19.1,71,7.4,2
2024-08-08-04-00-00,18.8,72,7.4,2
2024-08-08-05-00-00,18.6,74,7.4,2
2024-08-08-06-00-00,18.3,74,5.5,2
2024-08-08-07-00-00,19.9,67,5.5,2
2024-08-08-08-00-00,21.6,62,7.4,3
2024-08-08-09-00-00,22.3,60,7.4,3
2024-08-08-10-00-00,23.5,58,9.3,3
2024-08-08-11-00-00,24.9,56,9.3,3
2024-08-08-12-00-00,25.2,54,11.1,4
2024-08-08-13-00-00,25.7,53,11.1,3
2024-08-08-14-00-00,26.6,51,9.3,3
2024-08-08-15-00-00,27.3,49,9.3,3
2024-08-08-16-00-00,27.9,48,11.1,3
2024-08-08-17-00-00,28.0,48,11.1,3
2024-08-08-18-00-00,26.9,52,11.1,3
2024-08-08-19-00-00,26.0,56,9.3,3
2024-08-08-20-00-00,24.9,62,9.3,3
2024-08-08-21-00-00,23.6,67,11.1,3
2024-08-08-22-00-00,22.8,70,11.1,3
2024-08-08-23-00-00,22.6,72,11.1,3
2024-08-09-00-00-00,21.7,77,13.0,3
2024-08-09-01-00-00,21.4,77,14.8,3
2024-08-09-02-00-00,20.9,78,14.8,2
2024-08-09-03-00-00,20.4,79,14.8,2
2024-08-09-04-00-00,20.0,80,16.7,2
2024-08-09-05-00-00,19.6,81,16.7,2
2024-08-09-06-00-00,19.8,80,14.8,2
2024-08-09-07-00-00,20.3,79,14.8,2
2024-08-09-08-00-00,21.3,74,14.8,2
2024-08-09-09-00-00,22.4,68,14.8,2
2024-08-09-10-00-00,23.7,62,16.7,2
2024-08-09-11-00-00,25.2,55,16.7,2
2024-08-09-12-00-00,25.5,50,20.4,2
2024-08-09-13-00-00,26.5,46,20.4,2
2024-08-09-14-00-00,27.3,43,20.4,2
2024-08-09-15-00-00,27.9,40,20.4,2
2024-08-09-16-00-00,28.4,38,22.2,2
2024-08-09-17-00-00,28.2,38,20.4,2
2024-08-09-18-00-00,28.4,36,18.5,2
2024-08-09-19-00-00,27.5,38,16.7,2
2024-08-09-20-00-00,26.0,42,14.8,2
2024-08-09-21-00-00,24.2,48,11.1,2
2024-08-09-22-00-00,23.2,52,9.3,2
2024-08-09-23-00-00,22.4,55,7.4,2
2024-08-10-00-00-00,20.9,62,7.4,2
2024-08-10-01-00-00,20.6,62,5.5,2
2024-08-10-02-00-00,20.3,63,5.5,2
2024-08-10-03-00-00,19.7,65,5.5,2
2024-08-10-04-00-00,19.2,67,5.5,2
2024-08-10-05-00-00,18.7,72,3.7,2
2024-08-10-06-00-00,18.0,75,3.7,2
2024-08-10-07-00-00,19.8,68,5.5,2
2024-08-10-08-00-00,21.9,62,5.5,2
2024-08-10-09-00-00,23.3,57,5.5,2
2024-08-10-10-00-00,25.5,51,7.4,2
2024-08-10-11-00-00,27.4,45,11.1,2
2024-08-10-12-00-00,27.9,43,13.0,2
2024-08-10-13-00-00,29.0,40,14.8,2
2024-08-10-14-00-00,29.7,39,14.8,2
2024-08-10-15-00-00,30.3,37,14.8,2
2024-08-10-16-00-00,30.9,37,14.8,2
2024-08-10-17-00-00,30.8,37,14.8,2
2024-08-10-18-00-00,30.6,38,14.8,2
2024-08-10-19-00-00,29.8,40,13.0,2
2024-08-10-20-00-00,28.4,45,9.3,2
2024-08-10-21-00-00,26.9,50,7.4,2
2024-08-10-22-00-00,25.5,55,7.4,2
2024-08-10-23-00-00,24.6,58,5.5,2
2024-08-11-00-00-00,22.8,66,5.5,1
2024-08-11-01-00-00,22.3,66,5.5,1
2024-08-11-02-00-00,21.8,68,5.5,1
2024-08-11-03-00-00,21.2,70,5.5,1
2024-08-11-04-00-00,20.8,71,5.5,1
2024-08-11-05-00-00,20.6,73,5.5,1
2024-08-11-06-00-00,19.7,77,3.7,2
2024-08-11-07-00-00,21.8,68,5.5,2
2024-08-11-08-00-00,24.0,60,5.5,2
2024-08-11-09-00-00,25.4,55,5.5,2
